year,country_code,country_name,country_category,ssi,hg,w,w_trend,w_prime,w_double_prime,ssi_m,ssi_d,ssi_i,ssi_r,hg_geopolitical,hg_economic,hg_social,hg_external,hg_nontraditional
2006,JPN,Japan,发达经济体,72.17,0.251,54.08,53.9,0.01,-0.0,26.85,20.39,16.33,8.16,0.122,0.081,0.034,0.046,0.016
2007,JPN,Japan,发达经济体,72.27,0.252,54.03,53.91,0.01,-0.0,26.66,20.72,14.27,7.58,0.068,0.034,0.057,0.039,0.019
2008,JPN,Japan,发达经济体,71.85,0.272,52.31,53.92,0.01,-0.0,29.28,20.5,12.82,7.29,0.1,0.044,0.062,0.038,0.033
2009,JPN,Japan,发达经济体,72.46,0.252,54.21,53.92,0.0,-0.0,29.77,23.36,12.76,7.94,0.052,0.045,0.078,0.035,0.026
2010,JPN,Japan,发达经济体,72.56,0.252,54.28,53.92,0.0,-0.0,30.85,23.75,15.0,6.54,0.053,0.062,0.08,0.056,0.027
2011,JPN,Japan,发达经济体,72.66,0.252,54.37,53.92,-0.0,-0.0,30.24,23.14,15.27,7.6,0.054,0.038,0.064,0.058,0.018
2012,JPN,Japan,发达经济体,72.72,0.253,54.35,53.92,-0.0,-0.0,27.93,23.11,15.47,8.01,0.052,0.054,0.065,0.031,0.017
2013,JPN,Japan,发达经济体,72.83,0.255,54.29,53.91,-0.01,-0.0,31.23,23.73,13.36,6.74,0.051,0.029,0.065,0.035,0.032
2014,JPN,Japan,发达经济体,72.93,0.265,53.59,53.9,-0.01,-0.0,30.13,23.85,12.98,6.51,0.033,0.041,0.067,0.027,0.017
2015,JPN,Japan,发达经济体,73.03,0.255,54.38,53.88,-0.02,-0.0,28.35,21.48,14.41,7.18,0.103,0.096,0.044,0.019,0.018
2016,JPN,Japan,发达经济体,73.11,0.259,54.16,53.86,-0.02,-0.0,28.73,19.95,15.22,7.33,0.117,0.04,0.055,0.058,0.029
2017,JPN,Japan,发达经济体,73.22,0.254,54.61,53.83,-0.02,-0.0,30.17,21.04,15.88,7.69,0.047,0.061,0.072,0.038,0.026
2018,JPN,Japan,发达经济体,73.31,0.264,53.96,53.81,-0.03,-0.0,32.13,20.37,12.7,7.39,0.058,0.043,0.073,0.024,0.035
2019,JPN,Japan,发达经济体,73.4,0.257,54.53,53.78,-0.03,-0.0,27.08,21.64,13.41,6.63,0.044,0.043,0.037,0.019,0.027
2020,JPN,Japan,发达经济体,72.5,0.305,50.38,53.75,-0.03,-0.0,27.01,23.48,12.93,7.56,0.084,0.064,0.048,0.027,0.029
2021,JPN,Japan,发达经济体,73.6,0.257,54.71,53.72,-0.03,0.0,32.22,20.25,14.42,7.35,0.083,0.05,0.025,0.036,0.034
2022,JPN,Japan,发达经济体,73.69,0.289,52.4,53.7,-0.03,0.0,28.34,21.82,16.67,7.57,0.082,0.061,0.045,0.041,0.025
2023,JPN,Japan,发达经济体,73.79,0.258,54.78,53.67,-0.03,0.0,29.09,21.59,12.93,8.08,0.119,0.03,0.032,0.053,0.019
2000,GBR,United Kingdom,发达经济体,70.29,0.24,53.41,53.25,0.0,0.0,26.76,22.37,12.62,7.09,0.024,0.096,0.03,0.033,0.016
2001,GBR,United Kingdom,发达经济体,70.37,0.252,52.66,53.13,-0.11,0.0,27.6,19.78,12.09,6.5,0.029,0.098,0.064,0.023,0.022
2002,GBR,United Kingdom,发达经济体,70.48,0.243,53.36,53.02,-0.11,0.0,31.17,20.55,14.38,6.74,0.065,0.03,0.027,0.029,0.02
2003,GBR,United Kingdom,发达经济体,70.57,0.245,53.29,52.9,-0.11,-0.0,28.02,22.34,13.43,6.86,0.118,0.091,0.052,0.047,0.02
2004,GBR,United Kingdom,发达经济体,70.66,0.249,53.06,52.79,-0.11,-0.0,25.68,23.0,12.88,7.85,0.096,0.033,0.078,0.024,0.015
2005,GBR,United Kingdom,发达经济体,70.8,0.251,53.05,52.67,-0.11,0.0,26.54,19.51,13.84,7.31,0.026,0.056,0.064,0.048,0.024
2006,GBR,United Kingdom,发达经济体,70.91,0.251,53.14,52.56,-0.11,0.0,27.67,21.85,15.68,7.53,0.065,0.042,0.063,0.043,0.02
2007,GBR,United Kingdom,发达经济体,70.97,0.253,52.99,52.45,-0.11,0.0,30.54,19.93,15.55,7.44,0.094,0.07,0.021,0.02,0.027
2008,GBR,United Kingdom,发达经济体,69.09,0.317,47.18,52.34,-0.11,0.0,25.73,22.71,13.85,7.73,0.12,0.082,0.087,0.045,0.029
2009,GBR,United Kingdom,发达经济体,71.21,0.257,52.93,52.23,-0.11,0.0,30.13,21.21,14.64,6.87,0.12,0.044,0.061,0.035,0.028
2010,GBR,United Kingdom,发达经济体,71.28,0.258,52.89,52.12,-0.1,0.0,29.34,19.66,15.59,6.4,0.117,0.052,0.053,0.052,0.027
2011,GBR,United Kingdom,发达经济体,71.4,0.26,52.83,52.02,-0.1,0.0,30.47,22.18,13.06,7.62,0.119,0.085,0.023,0.045,0.024
2012,GBR,United Kingdom,发达经济体,71.51,0.263,52.67,51.92,-0.1,-0.0,26.23,19.65,15.65,7.5,0.121,0.07,0.03,0.035,0.03
2013,GBR,United Kingdom,发达经济体,71.61,0.265,52.63,51.81,-0.11,-0.0,30.46,21.3,16.25,7.29,0.033,0.027,0.066,0.047,0.031
2014,GBR,United Kingdom,发达经济体,71.7,0.277,51.82,51.7,-0.11,-0.0,31.1,22.18,14.74,6.46,0.086,0.103,0.07,0.024,0.035
2015,GBR,United Kingdom,发达经济体,71.79,0.265,52.77,51.6,-0.11,-0.0,27.66,21.83,15.88,8.1,0.103,0.03,0.035,0.032,0.026
2016,GBR,United Kingdom,发达经济体,70.39,0.316,48.15,51.49,-0.11,0.0,27.23,19.78,15.26,6.65,0.113,0.082,0.073,0.031,0.031
2017,GBR,United Kingdom,发达经济体,72.0,0.272,52.39,51.39,-0.1,0.0,31.31,21.06,13.57,6.28,0.104,0.064,0.025,0.037,0.026
2018,GBR,United Kingdom,发达经济体,72.1,0.282,51.78,51.28,-0.1,0.0,29.19,19.96,13.38,7.68,0.082,0.049,0.077,0.06,0.026
2019,GBR,United Kingdom,发达经济体,72.19,0.276,52.25,51.18,-0.1,0.0,31.15,19.7,13.06,6.34,0.066,0.081,0.037,0.048,0.018
2020,GBR,United Kingdom,发达经济体,71.3,0.325,48.1,51.08,-0.1,0.0,26.7,20.93,13.03,7.7,0.142,0.114,0.038,0.063,0.034
2021,GBR,United Kingdom,发达经济体,72.4,0.279,52.19,50.98,-0.1,0.0,26.75,23.71,14.73,7.88,0.084,0.07,0.074,0.027,0.018
2022,GBR,United Kingdom,发达经济体,72.5,0.312,49.87,50.88,-0.1,0.0,28.28,20.84,12.73,7.2,0.071,0.069,0.061,0.043,0.027
2023,GBR,United Kingdom,发达经济体,72.6,0.282,52.15,50.79,-0.1,0.0,29.51,19.89,15.48,6.3,0.044,0.076,0.08,0.062,0.038
2000,FRA,France,发达经济体,79.12,0.203,63.06,63.08,0.0,0.0,29.52,25.67,16.28,6.98,0.108,0.059,0.017,0.016,0.03
2001,FRA,France,发达经济体,79.15,0.214,62.19,62.99,-0.08,0.0,31.47,22.6,14.75,7.35,0.044,0.042,0.029,0.025,0.012
2002,FRA,France,发达经济体,79.21,0.205,62.95,62.91,-0.08,-0.0,30.82,23.17,17.49,7.49,0.06,0.037,0.062,0.033,0.027
2003,FRA,France,发达经济体,79.23,0.208,62.75,62.83,-0.08,-0.0,34.45,22.98,16.97,8.44,0.112,0.069,0.023,0.016,0.021
2004,FRA,France,发达经济体,79.27,0.207,62.88,62.74,-0.09,-0.0,33.28,23.78,16.97,7.07,0.084,0.037,0.036,0.049,0.022
2005,FRA,France,发达经济体,79.3,0.21,62.66,62.65,-0.09,-0.0,31.96,23.12,17.34,8.48,0.077,0.058,0.017,0.037,0.015
2006,FRA,France,发达经济体,79.35,0.207,62.91,62.56,-0.09,-0.0,34.65,24.08,16.27,8.93,0.016,0.034,0.063,0.042,0.011
2007,FRA,France,发达经济体,79.38,0.211,62.64,62.47,-0.09,-0.0,30.02,22.95,16.16,8.52,0.08,0.042,0.031,0.022,0.025
2008,FRA,France,发达经济体,78.88,0.231,60.66,62.38,-0.09,-0.0,33.25,24.48,17.28,7.07,0.043,0.039,0.035,0.016,0.03
2009,FRA,France,发达经济体,79.47,0.212,62.61,62.28,-0.1,-0.0,30.53,25.54,14.99,8.87,0.064,0.044,0.025,0.036,0.019
2010,FRA,France,发达经济体,79.51,0.213,62.58,62.18,-0.1,-0.0,29.64,25.28,17.7,7.65,0.094,0.065,0.014,0.038,0.021
2011,FRA,France,发达经济体,79.55,0.217,62.31,62.08,-0.11,-0.0,30.06,24.16,15.46,8.42,0.108,0.041,0.064,0.033,0.016
2012,FRA,France,发达经济体,79.58,0.215,62.44,61.96,-0.11,-0.01,31.03,23.1,15.51,7.46,0.031,0.07,0.055,0.049,0.027
2013,FRA,France,发达经济体,79.62,0.216,62.39,61.85,-0.12,-0.01,34.67,23.26,17.49,8.01,0.047,0.04,0.025,0.036,0.029
2014,FRA,France,发达经济体,79.65,0.227,61.57,61.72,-0.12,-0.01,29.38,23.24,15.13,8.54,0.116,0.049,0.033,0.017,0.03
2015,FRA,France,发达经济体,79.71,0.216,62.46,61.59,-0.13,-0.01,31.21,23.03,15.9,8.37,0.106,0.064,0.053,0.015,0.032
2016,FRA,France,发达经济体,79.74,0.223,61.98,61.45,-0.14,-0.01,31.6,24.5,16.44,8.33,0.026,0.024,0.039,0.052,0.026
2017,FRA,France,发达经济体,79.77,0.22,62.2,61.31,-0.14,-0.01,30.06,22.15,15.74,8.32,0.05,0.019,0.071,0.051,0.016
2018,FRA,France,发达经济体,79.81,0.23,61.49,61.16,-0.15,-0.01,33.09,22.14,15.56,8.33,0.06,0.096,0.039,0.042,0.023
2019,FRA,France,发达经济体,79.87,0.223,62.1,61.01,-0.15,-0.0,30.14,24.02,17.02,8.13,0.111,0.054,0.033,0.038,0.012
2020,FRA,France,发达经济体,78.89,0.272,57.41,60.85,-0.16,-0.0,30.22,23.24,17.7,7.81,0.085,0.069,0.063,0.038,0.027
2021,FRA,France,发达经济体,79.94,0.223,62.14,60.7,-0.16,-0.0,34.92,22.67,15.77,7.81,0.086,0.045,0.049,0.018,0.016
2022,FRA,France,发达经济体,79.97,0.284,57.29,60.54,-0.16,-0.0,31.84,22.31,17.1,7.28,0.124,0.035,0.035,0.044,0.024
2023,FRA,France,发达经济体,80.02,0.225,62.01,60.39,-0.15,0.0,29.84,24.07,14.85,8.61,0.042,0.085,0.022,0.039,0.029
2000,ITA,Italy,发达经济体,73.87,0.276,53.5,53.55,0.0,0.0,28.47,23.94,16.46,6.73,0.04,0.06,0.043,0.052,0.03
2001,ITA,Italy,发达经济体,73.85,0.286,52.71,53.45,-0.1,0.0,27.23,21.37,14.33,6.5,0.058,0.076,0.07,0.045,0.024
2002,ITA,Italy,发达经济体,73.82,0.274,53.6,53.35,-0.1,-0.0,28.52,22.18,16.69,7.49,0.051,0.093,0.04,0.056,0.022
2003,ITA,Italy,发达经济体,73.77,0.274,53.55,53.25,-0.1,-0.0,26.63,21.35,16.32,7.57,0.069,0.073,0.077,0.045,0.027
2004,ITA,Italy,发达经济体,73.74,0.276,53.37,53.15,-0.1,-0.0,30.15,21.94,14.86,7.86,0.034,0.053,0.064,0.038,0.035
2005,ITA,Italy,发达经济体,73.71,0.277,53.32,53.05,-0.1,-0.0,29.33,23.73,15.02,7.34,0.121,0.101,0.033,0.056,0.025
2006,ITA,Italy,发达经济体,73.68,0.274,53.5,52.95,-0.1,-0.0,29.29,20.79,13.36,6.98,0.068,0.034,0.078,0.024,0.03
2007,ITA,Italy,发达经济体,73.64,0.275,53.39,52.85,-0.1,-0.0,27.87,22.9,14.31,7.94,0.102,0.088,0.033,0.053,0.018
2008,ITA,Italy,发达经济体,73.12,0.293,51.71,52.74,-0.1,-0.0,30.88,21.61,13.6,8.3,0.096,0.039,0.067,0.039,0.025
2009,ITA,Italy,发达经济体,73.58,0.274,53.4,52.64,-0.1,0.0,31.46,23.08,15.77,7.3,0.105,0.068,0.067,0.052,0.02
2010,ITA,Italy,发达经济体,73.53,0.275,53.33,52.54,-0.1,0.0,28.33,23.96,15.34,7.26,0.062,0.059,0.041,0.054,0.037
2011,ITA,Italy,发达经济体,71.01,0.343,46.67,52.44,-0.1,0.0,29.72,19.78,12.66,7.76,0.137,0.072,0.083,0.053,0.037
2012,ITA,Italy,发达经济体,73.49,0.273,53.45,52.34,-0.1,0.0,28.07,21.87,13.79,7.88,0.058,0.05,0.06,0.022,0.019
2013,ITA,Italy,发达经济体,73.47,0.272,53.47,52.25,-0.1,0.0,29.16,21.42,13.21,6.8,0.088,0.067,0.054,0.061,0.028
2014,ITA,Italy,发达经济体,73.42,0.283,52.66,52.15,-0.1,-0.0,30.58,22.61,16.18,7.19,0.083,0.079,0.067,0.051,0.028
2015,ITA,Italy,发达经济体,73.39,0.273,53.36,52.05,-0.1,-0.0,31.32,23.03,12.74,6.41,0.092,0.071,0.074,0.029,0.025
2016,ITA,Italy,发达经济体,73.38,0.279,52.93,51.94,-0.11,-0.0,31.52,22.54,14.97,7.1,0.052,0.061,0.065,0.043,0.021
2017,ITA,Italy,发达经济体,73.34,0.272,53.38,51.83,-0.11,-0.0,29.61,24.0,16.17,7.47,0.095,0.095,0.049,0.033,0.036
2018,ITA,Italy,发达经济体,73.32,0.279,52.89,51.72,-0.11,-0.0,28.1,22.97,14.03,7.78,0.064,0.075,0.085,0.049,0.023
2019,ITA,Italy,发达经济体,73.29,0.271,53.46,51.61,-0.11,-0.0,28.85,22.21,15.79,6.81,0.076,0.108,0.083,0.05,0.029
2020,ITA,Italy,发达经济体,69.76,0.404,41.55,51.5,-0.11,0.0,28.82,21.5,12.62,6.49,0.161,0.117,0.089,0.065,0.03
2021,ITA,Italy,发达经济体,73.22,0.272,53.3,51.4,-0.1,0.01,26.73,23.03,15.87,7.98,0.095,0.078,0.077,0.059,0.029
2022,ITA,Italy,发达经济体,73.19,0.3,51.23,51.29,-0.1,0.0,28.3,20.75,15.02,7.95,0.117,0.068,0.089,0.048,0.026
2023,ITA,Italy,发达经济体,73.16,0.269,53.5,51.19,-0.1,0.0,30.12,23.8,15.92,7.12,0.119,0.046,0.08,0.039,0.036
2000,CAN,Canada,发达经济体,81.52,0.233,62.54,62.46,0.0,0.0,30.68,22.68,16.62,8.86,0.085,0.035,0.067,0.027,0.03
2001,CAN,Canada,发达经济体,81.64,0.246,61.59,62.5,0.04,0.0,30.63,25.04,16.02,9.11,0.088,0.022,0.049,0.054,0.019
2002,CAN,Canada,发达经济体,81.74,0.234,62.65,62.54,0.04,0.0,33.27,26.0,17.12,7.37,0.112,0.091,0.068,0.046,0.018
2003,CAN,Canada,发达经济体,81.86,0.234,62.71,62.58,0.04,-0.0,33.53,24.94,15.58,8.66,0.054,0.047,0.032,0.042,0.022
2004,CAN,Canada,发达经济体,81.98,0.235,62.75,62.61,0.04,-0.0,31.9,26.43,18.24,7.72,0.071,0.023,0.069,0.038,0.029
2005,CAN,Canada,发达经济体,82.1,0.236,62.7,62.65,0.04,-0.0,33.79,25.2,17.67,7.51,0.03,0.07,0.054,0.041,0.016
2006,CAN,Canada,发达经济体,82.2,0.234,62.94,62.69,0.04,-0.0,31.99,24.94,15.36,9.04,0.107,0.042,0.044,0.053,0.018
2007,CAN,Canada,发达经济体,82.31,0.235,62.97,62.72,0.03,-0.0,33.88,25.33,17.44,8.46,0.024,0.041,0.076,0.025,0.019
2008,CAN,Canada,发达经济体,81.9,0.254,61.08,62.75,0.03,-0.0,32.59,23.11,16.73,7.8,0.069,0.036,0.028,0.021,0.019
